org,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,total,percent_change_16to24,annual_avg_14to23,annual_avg_13to17,latest_update
washingtontimes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,2024-01-09 01:41:14+00:00
wbez,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,32.0,-1.0,3.0,5.2,2025-11-06 21:45:50+00:00
wbur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,,0.6,0.0,2025-09-21 19:47:09+00:00
wearehearken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.3,0.2,2020-11-05 00:33:54+00:00
wgbh,0.0,0.0,1.0,3.0,1.0,2.0,2.0,4.0,10.0,3.0,1.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,-1.0,3.1,4.2,2025-11-24 19:19:08+00:00
wireservice,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-1.0,1.4,2.6,2026-01-02 17:38:21+00:00
wnpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.0,2020-03-19 14:18:50+00:00
wnyc,0.0,0.0,0.0,2.0,5.0,26.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,-1.0,1.4,8.0,2025-12-29 22:59:39+00:00
worldcompany,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2025-02-06 13:03:11+00:00
wpinvestigative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,22.0,,2.2,0.6,2025-11-11 16:30:18+00:00
wraldata,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0,1.4,1.8,2025-12-24 08:30:22+00:00
wsj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,1.0,1.8,2025-10-16 18:30:02+00:00
yleisradio,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,-1.0,3.8,5.0,2026-01-04 07:39:28+00:00
youthradio,0.0,0.0,0.0,0.0,4.0,3.0,5.0,8.0,2.0,10.0,14.0,9.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,72.0,-1.0,6.5,5.6,2021-12-21 00:44:29+00:00
zeitonline,0.0,0.0,0.0,0.0,4.0,2.0,2.0,46.0,8.0,14.0,20.0,16.0,8.0,4.0,3.0,7.0,5.0,9.0,0.0,148.0,-0.375,12.8,14.4,2026-01-02 12:57:14+00:00
