org,year,count
mcclatchy-southeast,2021,1
mcclatchy-southeast,2022,5
mcclatchy-southeast,2023,5
mcclatchy-southeast,2024,1
meedan,2011,2
meedan,2012,6
meedan,2014,7
meedan,2015,9
meedan,2016,8
meedan,2017,6
meedan,2018,6
meedan,2019,3
meedan,2020,8
meedan,2021,6
meedan,2022,3
meedan,2023,1
meedan,2024,1
meedan,2025,1
miamiherald,2016,12
miamiherald,2017,5
miamiherald,2022,1
michiganradio,2014,1
micnews,2014,46
micnews,2015,25
micnews,2016,46
micnews,2017,7
micnews,2018,3
minneapolisstartribune,2014,1
minneapolisstartribune,2017,2
minneapolisstartribune,2021,2
minneapolisstartribune,2022,4
minneapolisstartribune,2024,2
minneapolisstartribune,2025,4
minnpost,2011,3
minnpost,2012,37
minnpost,2013,38
minnpost,2014,37
minnpost,2015,6
minnpost,2016,12
minnpost,2017,6
minnpost,2018,10
minnpost,2019,6
minnpost,2020,2
minnpost,2021,1
minnpost,2022,10
mirror-media,2016,5
mirror-media,2017,9
mirror-media,2018,1
mirror-media,2019,2
mirror-media,2020,9
mirror-media,2021,10
mirror-media,2022,4
mirror-media,2023,3
mirror-media,2024,1
mirror-media,2025,1
missionlocal,2021,1
missionlocal,2024,2
missionlocal,2025,6
motherjones,2012,6
motherjones,2013,13
motherjones,2014,28
motherjones,2015,1
motherjones,2017,2
motherjones,2018,1
motherjones,2019,3
motherjones,2020,3
motherjones,2021,4
motherjones,2022,6
motherjones,2023,2
mtfreepress,2024,7
mtfreepress,2025,6
muckrack,2025,1
muckrock,2013,1
muckrock,2014,2
muckrock,2016,1
muckrock,2017,2
muckrock,2018,1
muckrock,2019,5
muckrock,2020,3
muckrock,2021,1
muckrock,2022,25
muckrock,2023,21
muckrock,2024,10
muckrock,2025,6
natgeosociety,2019,1
natgeosociety,2020,7
nbcnews,2013,1
nbcnews,2015,1
nbcnews,2016,1
nbcnews,2017,4
nbcnews,2018,1
nbcnews,2019,4
nbcnews,2020,1
nbcnews,2021,1
news-catalyst,2019,8
news-catalyst,2020,9
newsappajc,2013,8
newsappajc,2014,2
newsappajc,2015,7
newsappajc,2016,3
newsappajc,2017,1
newsappajc,2020,1
newsappajc,2021,1
newsapps,2010,6
newsapps,2011,10
newsapps,2012,7
newsapps,2013,8
newsapps,2014,3
newsapps,2015,8
newsapps,2016,9
newsapps,2019,1
newsappsio,2015,2
newscientistapps,2013,5
newscientistapps,2014,1
newsday,2014,2
newsdev,2013,1
newsdev,2014,3
newsdev,2015,32
newsdev,2016,10
newsdev,2017,16
newsdev,2018,9
newshour,2011,2
newshour,2012,3
newshour,2017,1
newshour,2021,2
newshour,2023,1
newslynx,2014,17
newslynx,2015,17
newsrevenuehub,2021,1
newsroomdevelopment,2021,26
newsroomdevelopment,2022,10
newyorker,2014,3
newyorker,2015,3
niemanlab,2013,1
nmg-digital,2022,1
npr,2012,6
npr,2013,5
npr,2014,2
npr,2016,2
npr,2017,2
npr,2018,7
npr,2019,5
npr,2020,1
npr,2021,1
nprapps,2012,12
nprapps,2013,41
nprapps,2014,24
nprapps,2015,27
nprapps,2016,25
nprapps,2017,41
nprapps,2018,11
nprapps,2019,9
nprapps,2020,6
nprapps,2021,8
nprapps,2022,1
nprapps,2023,4
nprapps,2024,3
nprlabs,2013,1
nprlabs,2014,1
nprlabs,2015,1
nprlabs,2016,2
nprlabs,2017,1
nrkno,2013,1
nrkno,2014,1
nrkno,2015,1
nrkno,2016,9
nrkno,2017,13
nrkno,2018,20
nrkno,2019,13
nrkno,2020,6
nrkno,2021,5
nrkno,2022,13
nrkno,2023,12
nrkno,2024,6
nrkno,2025,10
nuknightlab,2012,3
nuknightlab,2013,11
nuknightlab,2014,10
nuknightlab,2015,8
nuknightlab,2016,14
nuknightlab,2017,12
nuknightlab,2018,4
nuknightlab,2019,3
nuknightlab,2020,2
nuknightlab,2023,2
nuknightlab,2024,2
nuknightlab,2025,2
nydailynews,2017,44
nydailynews,2018,16
nymag,2015,11
nymag,2016,6
nymag,2017,5
nymag,2018,4
nymag,2019,3
nymag,2021,2
nypublicradio,2014,3
nypublicradio,2015,1
nypublicradio,2016,11
nypublicradio,2017,26
